epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.706,1.72081,2.46118,1.49521,0.52922,0.5863,0.55277,0.31191,1.49096,1.28521,1.21622,0.00198969,0.00198969,0.0820928
2,302.066,1.36595,1.40339,1.20662,0.62404,0.62297,0.62086,0.36826,1.38024,1.27735,1.16893,0.00398925,0.00398925,0.0640923
3,450.482,1.33658,1.25106,1.17842,0.64704,0.61354,0.65193,0.36634,1.43425,1.10163,1.20248,0.00598707,0.00598707,0.0460902
4,597.845,1.34592,1.22513,1.16975,0.66092,0.60179,0.6453,0.3828,1.42523,1.09939,1.217,0.00798182,0.00798182,0.0280849
5,745.372,1.36754,1.2477,1.20436,0.62511,0.62337,0.63259,0.3719,1.45867,1.18773,1.26866,0.00997219,0.00997219,0.0100753
6,892.038,1.40728,1.25307,1.22462,0.6632,0.64705,0.65841,0.35745,1.57889,1.19451,1.35346,0.00997264,0.00997264,0.00997264
7,1038.5,1.41621,1.21645,1.22279,0.65556,0.58681,0.61738,0.34267,1.56795,1.23907,1.32024,0.00996061,0.00996061,0.00996061
8,1185.17,1.37751,1.17296,1.2046,0.6652,0.67734,0.67382,0.38614,1.48845,1.17047,1.28557,0.00994642,0.00994642,0.00994642
9,1332.55,1.34938,1.14976,1.19692,0.6876,0.69198,0.69103,0.39342,1.52365,1.11492,1.31531,0.00993005,0.00993005,0.00993005
10,1479.77,1.33338,1.10709,1.18926,0.68338,0.64945,0.68401,0.40951,1.43564,1.09682,1.24676,0.00991152,0.00991152,0.00991152
11,1627.17,1.30007,1.09266,1.18141,0.70811,0.67195,0.70055,0.42542,1.41167,1.01798,1.23953,0.00989085,0.00989085,0.00989085
12,1776.22,1.279,1.03432,1.16041,0.72237,0.64416,0.68551,0.40183,1.46239,1.07641,1.27943,0.00986803,0.00986803,0.00986803
13,1922.79,1.26522,1.00429,1.15522,0.70212,0.69517,0.71421,0.42462,1.45512,1.08323,1.26098,0.00984307,0.00984307,0.00984307
